Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Got2,3646,3821,5258,3122,4839,3275,3304,2756,5297
Gpaa1,593,1822,1333,1735,1841,395,783,1091,1654
Gpalpp1,546,1187,980,724,1120,1974,1822,1549,1111
Gpank1,235,322,367,226,426,572,511,0,336
Gpatch1,335,264,359,73,532,411,622,0,1385
Gpatch11,7,177,169,207,396,151,303,377,302
Gpatch2l,491,894,572,937,505,1107,1089,860,1051
Gpatch3,0,183,159,339,106,164,595,685,462
Gpatch4,643,576,509,1106,685,524,573,482,620
Gpatch8,1101,748,1180,539,1835,1924,764,3735,3243
Gpbp1,2135,3264,3859,2814,3096,4437,3740,1970,3538
Gpbp1l1,289,457,627,421,906,857,773,1161,1423
Gpcpd1,1087,1040,901,773,1181,747,863,1401,1546
Gpd1l,1355,1474,1889,1195,1827,1439,1547,853,1189
Gpd2,283,535,1173,1385,1368,2571,1959,1756,1029
Gphn,1207,1376,920,191,156,333,507,0,602
Gpi1,4027,4947,7251,5402,7161,5067,7086,5850,4581
Gpkow,1480,1319,1434,1129,2240,875,1754,725,2598
Gpn1,1502,2050,1532,2008,1649,1823,1404,248,1828
Gpn2,251,366,378,345,464,341,617,830,490
Gpn3,522,543,721,1061,922,688,117,371,839
Gpr107,352,427,523,845,451,542,1158,0,698
Gpr108,575,1269,991,680,1505,1041,2163,1540,1488
Gpr125,229,18,414,315,641,1047,1147,0,1894
Gpr160,717,486,576,976,917,831,548,0,200
Gpr171,4675,6832,6353,4058,5958,3882,2344,2281,1465
Gpr18,242,510,192,437,407,394,637,1458,538
Gpr180,459,188,425,206,452,119,323,468,685
Gpr56,15914,10719,14239,11876,13573,12319,229,310,1286
Gpr65,465,714,810,454,1308,908,5562,4313,3755
Gpr89,295,475,659,831,761,772,853,981,543
Gpr97,7211,5935,6672,4805,4737,3440,808,1258,866
Gprasp1,840,681,778,354,440,1457,551,3617,1826
Gps1,2103,2532,3756,3315,2776,2427,2663,3974,2109
Gps2,528,919,999,1247,1158,1289,312,272,849
Gpsm1,848,1234,1375,1170,1234,981,1405,2,756
Gpsm3,131,222,193,423,652,487,852,604,873
Gpx1,19970,32240,36228,29349,26174,18679,13969,10174,9898
Gpx4,1871,2718,2935,3254,3772,3913,3665,3006,2713
Gramd1a,1041,1165,917,736,1926,1099,865,535,1182
Gramd1b,93,161,152,246,337,525,1182,1179,1216
Gramd4,1224,1100,1488,1769,1518,2635,1411,4824,1657
Grb2,1681,2067,2729,5575,6604,6626,2807,2166,3927
Grcc10,153,288,236,142,256,271,160,279,315
Grhpr,121,264,375,193,224,399,352,0,310
Gria3,2152,2336,1940,5324,5128,533,61,0,1534
Grina,359,566,293,130,347,538,1245,1108,1050
Gripap1,583,574,616,255,589,275,650,731,789
Grk6,2823,1962,2731,4017,4280,4642,4752,6194,4821
Grn,3165,4300,3100,6754,10457,4829,2614,4334,1377
Grpel1,995,1291,1623,1146,1302,1735,1829,913,1446
Grpel2,801,485,749,489,825,702,307,2321,884
Grsf1,2483,1311,1687,1085,1560,2200,2652,31,1903
Grwd1,862,1222,1570,1763,1130,1405,918,0,1133
