Gene,A1,A2,A3,B1,B2,B3,C1,C2,C3
Gm25922,0,0,0,0,0,0,0,0,0
Cebpg,811,809,1197,1942,742,1440,1910,925,1934
Gm25033,0,0,0,0,0,0,0,0,0
Gm22535,0,0,0,0,0,0,0,0,0
Cebpa,48,105,174,428,247,193,56,0,18
Slc7a10,0,0,0,0,0,0,0,0,0
Lrp3,0,0,0,0,0,0,0,0,0
Gm24505,0,0,0,0,0,0,0,0,0
Gpatch1,335,264,359,73,532,411,622,0,1385
Rhpn2,0,0,0,0,0,0,0,0,0
C230052I12Rik,209,290,409,638,226,411,603,357,584
Cep89,206,583,516,17,69,0,224,355,0
Gm18254,0,0,0,0,0,0,0,0,0
Slc7a9,0,0,0,0,0,0,0,0,0
Tdrd12,0,63,0,0,0,0,0,0,0
Gm18558,0,0,0,0,0,0,0,0,0
Nudt19,1628,1647,1754,965,413,989,1068,686,559
B230322F03Rik,0,20,0,0,0,0,0,0,0
Rgs9bp,0,0,0,0,0,0,0,0,501
Ankrd27,926,997,1555,1398,1721,2317,3027,2053,1505
Pdcd5,590,934,854,864,713,1074,794,704,990
Dpy19l3,224,518,509,167,93,463,3453,1948,3192
Zfp507,157,0,304,29,834,1,292,0,423
Gm26790,0,0,0,0,0,0,0,0,0
E130304I02Rik,9,0,16,2,13,22,0,0,0
Gm28514,0,0,0,0,0,0,0,0,0
Rpl17-ps9,0,1,0,2,2,3,1,1,4
Gm9211,0,0,0,0,0,0,0,0,0
Gm23292,0,0,0,0,0,0,0,0,0
Gm25247,0,0,0,0,0,0,0,0,0
Gm29129,0,0,0,0,0,0,0,0,0
RP24-142E6.2,0,0,0,0,0,0,0,0,0
Tshz3,0,50,2,0,3,0,159,0,0
RP24-142E6.3,0,0,0,0,0,0,0,0,42
RP24-142E6.4,5,0,0,0,0,0,0,0,0
RP24-142E6.5,5,0,0,0,0,0,0,0,0
RP24-142E6.6,0,0,0,0,0,0,0,0,0
Gm24550,0,0,0,0,0,0,0,0,0
Gm28078,0,0,0,0,0,0,0,0,0
Gm28076,0,0,0,0,0,0,0,0,0
Gm28075,0,0,0,0,0,0,0,0,0
Gm28077,0,0,0,0,0,0,0,0,0
Zfp536,0,0,0,0,0,0,0,0,0
4930505M18Rik,0,0,0,0,0,0,0,0,0
Gm22302,0,0,0,0,0,0,0,0,0
Uri1,2057,3118,2769,2707,3618,2949,2648,2554,2966
Ccne1,487,646,569,740,770,317,796,0,162
Gm22203,0,0,0,0,0,0,0,0,0
1600014C10Rik,1503,1791,1381,1202,1436,820,938,1532,1964
Plekhf1,0,236,90,525,340,719,1760,1165,1920
Pop4,504,927,719,593,622,735,165,561,324
Gm28581,0,0,0,0,0,0,0,0,0
Gm9220,0,0,0,0,0,0,0,0,0
Gm4451,0,0,0,0,0,0,0,0,0
Gm28453,0,0,0,0,0,0,0,0,0
Gm22638,0,0,0,0,0,0,0,0,0
Gm6818,0,0,0,0,0,0,0,0,0
Gm28583,0,0,0,0,0,0,0,0,0
Gm6605,0,0,0,0,0,0,0,0,0
Gm6819,0,0,0,0,0,0,0,0,0
Gm29087,0,0,0,0,0,0,0,0,0
Gm5591,0,0,0,0,0,0,0,0,0
RP23-216J17.1,0,0,0,0,0,0,0,0,0
Gm20749,0,0,0,0,0,0,0,0,0
Gm29086,0,0,0,0,0,0,0,0,0
Gm25286,0,0,0,0,0,0,0,0,0
Gm21115,0,0,0,0,0,0,0,0,0
Gm21276,0,0,0,0,0,0,0,0,0
Gm21122,0,0,0,0,0,0,0,0,0
Gm29085,0,0,0,0,0,0,0,0,0
1700010N08Rik,0,0,0,0,0,0,0,0,0
Gm24797,0,0,0,0,0,0,0,0,0
Gm21129,0,0,0,0,0,0,0,0,0
Gm21136,0,0,0,0,0,0,0,0,0
